StateCode,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
AL,2019,176,143,33,1,1,0,0,91,54,40,1,1,105,5,66,1
AK,2019,185,155,26,2,1,0,0,101,56,28,1,2,60,1,93,28
AZ,2019,272,184,81,6,1,1,1,163,67,44,1,1,175,6,24,67
AR,2019,179,146,33,1,0,0,0,85,54,37,1,1,89,0,90,0
CA,2019,207,157,43,6,1,0,1,186,63,40,1,2,140,0,56,8
CO,2019,188,131,54,2,0,0,0,108,58,38,1,4,141,1,17,25
CT,2019,169,150,18,1,0,0,0,105,52,41,1,3,136,0,30,1
DE,2019,273,208,64,1,0,0,0,104,63,43,1,1,223,0,48,0
DC,2019,274,171,98,4,1,0,0,157,77,47,1,21,182,0,70,0
FL,2019,180,153,26,1,0,0,0,92,55,38,1,1,128,2,45,5
GA,2019,224,168,54,1,1,0,0,102,59,40,1,1,118,2,103,0
HI,2019,192,188,5,0,0,0,0,72,32,20,1,19,38,23,113,0
ID,2019,198,183,15,1,0,0,0,79,43,22,0,0,27,13,148,10
IL,2019,222,174,47,1,1,0,0,97,53,37,1,3,132,28,59,1
IN,2019,226,190,35,1,0,0,0,85,51,36,1,0,157,14,53,0
IA,2019,223,182,41,0,0,0,0,96,54,35,0,2,97,1,113,10
KS,2019,174,154,20,0,0,0,0,93,48,34,0,1,105,0,37,30
KY,2019,106,93,13,0,0,0,0,70,51,35,0,2,54,6,43,1
LA,2019,243,205,38,1,0,0,0,89,53,35,0,4,157,13,68,1
ME,2019,271,258,13,0,0,0,0,94,47,36,0,5,209,0,56,1
MD,2019,242,199,40,3,0,0,0,105,58,39,0,7,160,13,61,1
MA,2019,241,215,25,0,0,0,0,96,50,40,0,5,193,0,43,0
MI,2019,164,144,20,0,0,0,0,87,51,37,0,2,120,8,31,1
MN,2019,180,156,24,0,0,0,0,86,52,32,0,2,77,7,88,6
MS,2019,254,211,42,0,0,0,0,90,54,39,0,0,144,0,109,0
MO,2019,162,131,23,3,4,0,0,87,59,44,0,2,90,28,36,7
MN,2019,192,166,26,0,0,0,0,97,52,31,0,1,77,5,100,9
NE,2019,193,175,18,0,0,0,0,70,45,28,0,0,71,6,79,36
NV,2019,198,160,38,1,0,0,0,85,51,33,0,2,122,0,30,44
NH,2019,170,166,4,0,0,0,0,65,45,38,0,0,150,9,10,0
NJ,2019,174,140,33,1,0,0,0,104,56,41,0,17,108,0,49,0
NM,2019,207,134,70,2,0,0,0,201,69,43,0,0,162,0,22,22
NY,2019,261,237,23,1,0,0,0,86,48,33,0,4,179,27,51,0
NC,2019,230,188,42,0,0,0,0,83,56,39,0,0,156,13,58,2
ND,2019,273,250,23,0,0,0,0,91,50,36,0,2,221,6,42,2
OH,2019,226,183,41,1,0,0,0,90,53,37,4,4,133,21,59,5
OK,2019,232,187,45,0,0,0,0,96,53,36,0,1,133,21,59,18
OR,2019,108,91,16,0,0,0,0,85,53,30,0,1,28,0,78,0
PA,2019,208,173,33,1,0,0,0,101,56,39,0,1,152,5,49,0
PR,2019,115,89,19,2,0,3,2,113,70,27,22,13,10,10,56,4
RI,2019,189,172,17,0,0,0,0,92,50,41,0,4,116,0,67,2
SC,2019,225,173,51,1,0,0,0,95,60,40,0,0,157,1,59,7
SD,2019,168,143,24,1,0,0,0,90,55,35,0,2,95,0,54,17
TN,2019,187,155,31,1,0,0,0,78,55,37,0,1,92,6,88,0
TX,2019,194,152,38,3,1,0,0,107,57,35,0,1,102,34,56,0
UT,2019,272,192,75,4,1,0,0,119,67,46,0,10,243,0,18,0
VT,2019,182,167,15,0,0,0,0,75,50,39,1,0,152,0,29,0
VI,2019,104,95,9,0,0,0,0,81,46,22,0,0,0,0,104,0
VA,2019,158,145,12,0,0,0,0,72,43,31,0,14,83,16,36,9
WA,2019,206,188,18,1,0,0,0,76,44,24,0,2,27,4,167,6
WV,2019,197,181,15,1,0,0,0,83,48,30,1,0,116,50,27,4
WI,2019,209,182,26,1,0,0,0,97,52,37,0,0,144,9,55,0
WY,2019,191,160,30,1,0,0,0,96,54,39,0,1,156,6,3,25
USA,2019,202,168,36,1,0,0,0,97,54,36,1,3,122,8,60,8
