County Code,County,StateCode,CarbonMonoxideLevel,NitrogenDioxide,Ozone,SulfurDioxide,ParticulateMatter2.5,ParticulateMatter10,Lead
1003,Baldwin County,AL,NULL,NULL,0.063,NULL,NULL,NULL,NULL
1033,Colbert County,AL,NULL,NULL,0.056,NULL,NULL,NULL,NULL
1049,DeKalb County,AL,NULL,NULL,0.062,NULL,NULL,NULL,NULL
1051,Elmore County,AL,NULL,NULL,0.059,NULL,NULL,NULL,NULL
1055,Etowah County,AL,NULL,NULL,0.063,NULL,NULL,NULL,NULL
1069,Houston County,AL,NULL,NULL,0.057,NULL,NULL,NULL,NULL
1073,Jefferson County,AL,1.3,NULL,NULL,NULL,NULL,NULL,NULL
1089,Madison County,AL,NULL,NULL,0.062,NULL,NULL,NULL,NULL
1097,Mobile County,AL,NULL,NULL,0.059,NULL,NULL,NULL,NULL
1101,Montgomery County,AL,NULL,NULL,0.06,NULL,NULL,NULL,NULL
1103,Morgan County,AL,NULL,NULL,0.064,NULL,NULL,NULL,NULL
1113,Russell County,AL,NULL,NULL,0.061,NULL,NULL,NULL,NULL
1117,Shelby County,AL,NULL,NULL,0.067,NULL,NULL,NULL,NULL
1119,Sumter County,AL,NULL,NULL,0.057,NULL,NULL,NULL,NULL
1125,Tuscaloosa County,AL,NULL,NULL,0.06,NULL,NULL,NULL,NULL
2020,Anchorage Borough,AK,2.2,NULL,NULL,NULL,NULL,NULL,NULL
2068,Denali Borough,AK,NULL,NULL,0.053,NULL,NULL,NULL,NULL
2090,Fairbanks North Star Borough,AK,2.1,NULL,NULL,NULL,NULL,NULL,NULL
4003,Cochise County,AZ,NULL,NULL,0.066,NULL,5.1,26,NULL
4005,Coconino County,AZ,NULL,NULL,0.063,NULL,NULL,NULL,NULL
4007,Gila County,AZ,NULL,NULL,0.075,5,NULL,22,0.16
4012,La Paz County,AZ,NULL,NULL,0.062,NULL,3.3,11,NULL
4013,Maricopa County,AZ,2.3,25,0.074,1,7.8,24,NULL
4015,Mohave County,AZ,NULL,NULL,NULL,NULL,NULL,16,NULL
4017,Navajo County,AZ,NULL,NULL,0.066,NULL,NULL,NULL,NULL
4019,Pima County,AZ,0.6,7,0.065,0,5,39,NULL
4021,Pinal County,AZ,NULL,NULL,0.072,NULL,NULL,NULL,NULL
4023,Santa Cruz County,AZ,NULL,NULL,NULL,NULL,8.8,32,NULL
4025,Yavapai County,AZ,NULL,NULL,0.061,NULL,NULL,NULL,NULL
4027,Yuma County,AZ,NULL,NULL,0.065,NULL,7.9,35,NULL
5001,Arkansas County,AR,NULL,NULL,NULL,NULL,7.9,NULL,NULL
5003,Ashley County,AR,NULL,NULL,NULL,NULL,8.2,NULL,NULL
5019,Clark County,AR,NULL,NULL,0.057,NULL,NULL,NULL,NULL
5035,Crittenden County,AR,NULL,8,0.064,NULL,8.3,NULL,NULL
5051,Garland County,AR,NULL,NULL,NULL,NULL,8.8,NULL,NULL
5067,Jackson County,AR,NULL,NULL,NULL,NULL,8.2,NULL,NULL
5101,Newton County,AR,NULL,NULL,0.058,NULL,NULL,NULL,NULL
5113,Polk County,AR,NULL,NULL,0.062,NULL,8.6,NULL,NULL
5119,Pulaski County,AR,1.2,8,0.06,1,10.3,19,NULL
5139,Union County,AR,NULL,NULL,NULL,NULL,9,NULL,NULL
5143,Washington County,AR,NULL,NULL,0.061,NULL,8,15,NULL
6001,Alameda County,CA,1.5,14,0.06,NULL,NULL,NULL,NULL
6007,Butte County,CA,1,NULL,NULL,NULL,NULL,NULL,NULL
6011,Colusa County,CA,NULL,NULL,NULL,NULL,7,NULL,NULL
6013,Contra Costa County,CA,1.8,5,0.068,NULL,NULL,NULL,NULL
6017,El Dorado County,CA,NULL,NULL,0.07,NULL,NULL,NULL,NULL
6019,Fresno County,CA,1.3,NULL,NULL,NULL,11.2,NULL,NULL
6023,Humboldt County,CA,0.8,2,0.046,0,NULL,NULL,NULL
6025,Imperial County,CA,3.1,NULL,NULL,NULL,10.8,NULL,NULL
6027,Inyo County,CA,0.2,NULL,NULL,NULL,NULL,NULL,NULL
6029,Kern County,CA,0.8,NULL,NULL,NULL,13,NULL,NULL
6031,Kings County,CA,NULL,NULL,NULL,NULL,12.3,NULL,NULL
6033,Lake County,CA,NULL,NULL,0.051,NULL,NULL,NULL,NULL
6037,Los Angeles County,CA,2.2,NULL,NULL,NULL,NULL,NULL,NULL
6039,Madera County,CA,NULL,NULL,NULL,NULL,9,NULL,NULL
6041,Marin County,CA,0.8,NULL,0.059,NULL,NULL,NULL,NULL
6043,Mariposa County,CA,NULL,NULL,0.068,NULL,NULL,NULL,NULL
6045,Mendocino County,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6047,Merced County,CA,NULL,NULL,NULL,NULL,9.6,NULL,NULL
6053,Monterey County,CA,0.8,4,0.058,NULL,NULL,NULL,NULL
6055,Napa County,CA,0.8,4,0.06,NULL,NULL,NULL,NULL
6057,Nevada County,CA,NULL,NULL,0.072,NULL,6.3,NULL,NULL
6059,Orange County,CA,1.3,NULL,NULL,NULL,NULL,NULL,NULL
6061,Placer County,CA,NULL,NULL,0.079,NULL,6.5,NULL,NULL
6063,Plumas County,CA,NULL,NULL,NULL,NULL,10.8,NULL,NULL
6065,Riverside County,CA,1.1,NULL,0.095,NULL,NULL,NULL,NULL
6067,Sacramento County,CA,1.3,NULL,NULL,NULL,8.4,NULL,NULL
6069,San Benito County,CA,NULL,NULL,0.062,NULL,NULL,NULL,NULL
6071,San Bernardino County,CA,1.1,NULL,0.082,NULL,NULL,NULL,NULL
6073,San Diego County,CA,1,NULL,NULL,NULL,NULL,NULL,NULL
6075,San Francisco County,CA,0.9,9,0.053,NULL,NULL,NULL,NULL
