StateName,CountyName,CountyCode,2010Population,CarbonMonoxide,Lead,NitrogenDioxide,Ozone,ParticulateMatter10,PartiulcateMatter2.5,SulfurDioxide
Alabama,Baldwin County,1003,182265,NULL,NULL,NULL,0.064,NULL,NULL,NULL
Alabama,Clay County,01027,13932,NULL,NULL,NULL,NULL,NULL,15,NULL
Alabama,Colbert County,01033,54428,NULL,NULL,NULL,0.06,NULL,16,NULL
Alabama,DeKalb County,01049,71109,NULL,NULL,NULL,0.064,NULL,16,NULL
Alabama,Elmore County,01051,79303,NULL,NULL,NULL,0.06,NULL,NULL,NULL
Alabama,Escambia County,01053,38319,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,Etowah County,01055,104430,NULL,NULL,NULL,0.064,NULL,15,NULL
Alabama,Houston County,01069,101547,NULL,NULL,NULL,0.061,NULL,17,NULL
Alabama,Jefferson County,01073,658466,1,NULL,11,0.07,65,22,54
Alabama,Madison County,01089,334811,NULL,NULL,NULL,0.065,33,16,NULL
Alabama,Mobile County,01097,412992,NULL,NULL,NULL,0.065,NULL,17,10
Alabama,Montgomery County,01101,229363,NULL,NULL,NULL,0.062,49,18,NULL
Alabama,Morgan County,01103,119490,NULL,NULL,NULL,0.066,NULL,16,NULL
Alabama,Pike County,01109,32899,NULL,0.11,NULL,NULL,NULL,NULL,NULL
Alabama,Russell County,01113,52947,NULL,NULL,NULL,0.061,NULL,20,NULL
Alabama,Shelby County,01117,195085,NULL,NULL,NULL,0.067,NULL,NULL,72
Alabama,Sumter County,01119,13763,NULL,NULL,NULL,0.06,NULL,NULL,4
Alabama,Talladega County,01121,82291,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alabama,Tuscaloosa County,01125,194656,NULL,NULL,NULL,0.063,NULL,17,NULL
Alabama,Walker County,01127,67023,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alaska,Anchorage Municipality,02020,291826,3,NULL,NULL,NULL,102,18,NULL
Alaska,Bethel Census Area,02050,17013,NULL,NULL,NULL,NULL,60,NULL,NULL
Alaska,Denali Borough,02068,1826,NULL,NULL,NULL,0.053,NULL,NULL,NULL
Alaska,Fairbanks North Star Borough,02090,97581,2,NULL,12,0.041,59,53,37
Alaska,Juneau City and Borough,02110,31275,NULL,NULL,NULL,NULL,17,22,NULL
Alaska,Kenai Peninsula Borough,02122,55400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alaska,Ketchikan Gateway Borough,02130,13477,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alaska,Matanuska-Susitna Borough,02170,88995,NULL,NULL,NULL,0.047,155,19,NULL
Alaska,Skagway Municipality,02232,968,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona,Apache County,04001,71518,NULL,NULL,NULL,NULL,58,NULL,NULL
Arizona,Cochise County,04003,131346,NULL,NULL,NULL,0.067,88,12,NULL
Arizona,Coconino County,04005,134421,NULL,NULL,NULL,0.069,NULL,NULL,NULL
Arizona,Gila County,04007,53597,NULL,0.23,NULL,0.076,239,NULL,208
Arizona,La Paz County,04012,20489,0,NULL,NULL,0.07,94,11,NULL
Arizona,Maricopa County,04013,3817117,3,0.05,28,0.08,294,31,8
Arizona,Mohave County,04015,200186,NULL,NULL,NULL,NULL,102,NULL,NULL
Arizona,Navajo County,04017,107449,NULL,NULL,NULL,0.069,51,NULL,NULL
Arizona,Pima County,04019,980263,1,NULL,8,0.071,206,12,2
Arizona,Pinal County,04021,375770,NULL,NULL,NULL,0.076,829,34,NULL
Arizona,Santa Cruz County,04023,47420,NULL,NULL,NULL,NULL,114,22,NULL
Arizona,Yavapai County,04025,211033,NULL,NULL,NULL,0.065,NULL,NULL,NULL
Arizona,Yuma County,04027,195751,NULL,NULL,NULL,0.074,227,26,NULL
Arkansas,Arkansas County,05001,19019,NULL,NULL,NULL,NULL,NULL,19,NULL
Arkansas,Ashley County,05003,21853,NULL,NULL,NULL,NULL,NULL,21,NULL
Arkansas,Clark County,05019,22995,NULL,NULL,NULL,0.062,NULL,NULL,NULL
Arkansas,Craighead County,05031,96443,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Crittenden County,05035,50902,NULL,NULL,7,0.07,NULL,20,NULL
Arkansas,Faulkner County,05045,113237,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Garland County,05051,96024,NULL,NULL,NULL,NULL,NULL,19,NULL
Arkansas,Jackson County,05067,17997,NULL,NULL,NULL,NULL,NULL,20,NULL
Arkansas,Jefferson County,05069,77435,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Marion County,05089,16653,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Miller County,05091,43462,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Mississippi County,05093,46480,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Newton County,05101,8330,NULL,NULL,NULL,0.062,NULL,NULL,NULL
Arkansas,Phillips County,05107,21757,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Polk County,05113,20662,NULL,NULL,NULL,0.063,NULL,20,NULL
Arkansas,Pope County,05115,61754,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Pulaski County,05119,382748,1,NULL,7,0.067,51,22,6
Arkansas,Sebastian County,05131,125744,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas,Union County,05139,41639,NULL,NULL,NULL,NULL,NULL,21,NULL
Arkansas,Washington County,05143,203065,NULL,NULL,NULL,0.065,40,25,NULL
Arkansas,White County,05145,77076,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,Alameda County,06001,1510271,3,NULL,17,0.069,NULL,82,9
California,Amador County,06005,38091,NULL,NULL,NULL,0.075,NULL,NULL,NULL
California,Butte County,06007,220000,6,NULL,7,0.084,338,61,NULL
California,Calaveras County,06009,45578,NULL,NULL,NULL,0.077,62,41,NULL
California,Colusa County,06011,21419,NULL,NULL,NULL,0.061,166,60,NULL
California,Contra Costa County,06013,1049025,2,NULL,8,0.064,102,73,20
California,Del Norte County,06015,28610,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,El Dorado County,06017,181058,NULL,NULL,NULL,0.095,80,NULL,NULL
California,Fresno County,06019,930450,2,NULL,21,0.088,125,66,6
California,Glenn County,06021,28122,NULL,NULL,NULL,0.061,121,NULL,NULL
California,Humboldt County,06023,134623,1,NULL,2,0.049,55,30,1
California,Imperial County,06025,174528,3,NULL,12,0.076,355,40,NULL
California,Inyo County,06027,18546,1,NULL,NULL,0.078,353,44,NULL
California,Kern County,06029,839631,1,NULL,13,0.096,171,69,NULL
California,Kings County,06031,152982,NULL,NULL,9,0.08,219,78,NULL
California,Lake County,06033,64665,NULL,NULL,NULL,0.055,89,72,NULL
California,Los Angeles County,06037,9818605,3,0.06,22,0.102,90,36,9
California,Madera County,06039,150865,1,NULL,6,0.076,140,50,NULL
California,Marin County,06041,252409,2,NULL,9,0.049,95,74,NULL
California,Mariposa County,06043,18251,NULL,NULL,NULL,0.085,285,NULL,NULL
California,Mendocino County,06045,87841,NULL,NULL,NULL,0.053,152,60,NULL
California,Merced County,06047,255793,NULL,NULL,7,0.079,80,56,NULL
California,Modoc County,06049,9686,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California,Mono County,06051,14202,NULL,NULL,NULL,NULL,580,99,NULL
California,Monterey County,06053,415057,1,NULL,5,0.054,76,29,NULL
California,Napa County,06055,136484,1,NULL,NULL,0.054,NULL,74,NULL
California,Nevada County,06057,98764,NULL,NULL,NULL,0.095,NULL,46,NULL
California,Orange County,06059,3010232,2,NULL,21,0.074,88,32,NULL
California,Placer County,06061,348432,NULL,NULL,8,0.098,170,57,NULL
California,Plumas County,06063,20007,NULL,NULL,NULL,NULL,NULL,37,NULL
California,Riverside County,06065,2189641,2,0.01,14,0.1,377,34,2
California,Sacramento County,06067,1418788,4,NULL,12,0.079,252,50,2
California,San Benito County,06069,55269,NULL,NULL,NULL,0.066,84,38,NULL
California,San Bernardino County,06071,2035210,1,0.01,30,0.111,142,33,6
California,San Diego County,06073,3095313,1,0.02,15,0.08,54,29,1
California,San Francisco County,06075,805235,2,NULL,11,0.048,NULL,81,NULL
California,San Joaquin County,06077,685306,2,NULL,12,0.075,212,97,NULL
California,San Luis Obispo County,06079,269637,NULL,NULL,5,0.071,123,29,1
California,San Mateo County,06081,718451,2,NULL,10,0.048,NULL,61,NULL
California,Santa Barbara County,06083,423895,1,NULL,6,0.065,103,20,2
California,Santa Clara County,06085,1781642,2,0.08,17,0.066,115,73,3
California,Santa Cruz County,06087,262382,NULL,NULL,NULL,0.054,NULL,41,NULL
California,Shasta County,06089,177223,NULL,NULL,NULL,0.079,137,103,NULL
California,Siskiyou County,06093,44900,NULL,NULL,NULL,0.072,NULL,113,NULL
California,Solano County,06095,413344,2,NULL,8,0.061,105,83,NULL
California,Sonoma County,06097,483878,1,NULL,4,0.055,205,65,NULL
California,Stanislaus County,06099,514453,2,NULL,10,0.084,184,100,NULL
California,Sutter County,06101,94737,3,NULL,7,0.08,245,37,NULL
California,Tehama County,06103,63463,NULL,NULL,NULL,0.082,100,63,NULL
California,Tulare County,06107,442179,NULL,NULL,11,0.091,152,63,NULL
California,Tuolumne County,06109,55365,NULL,NULL,NULL,0.084,NULL,NULL,NULL
California,Ventura County,06111,823318,NULL,NULL,8,0.076,160,24,NULL
California,Yolo County,06113,200849,NULL,NULL,4,0.068,183,95,NULL
Colorado,Adams County,08001,441603,2,NULL,16,0.069,146,27,6
Colorado,Alamosa County,08003,15445,NULL,NULL,NULL,NULL,139,NULL,NULL
Colorado,Arapahoe County,08005,572003,NULL,NULL,NULL,0.077,NULL,20,NULL
Colorado,Archuleta County,08007,12084,NULL,NULL,2,0.065,51,NULL,NULL
Colorado,Boulder County,08013,294567,NULL,NULL,NULL,0.077,57,29,NULL
Colorado,Clear Creek County,08019,9088,NULL,NULL,NULL,0.078,NULL,NULL,NULL
Colorado,Delta County,08029,30952,NULL,NULL,NULL,0.054,50,NULL,NULL
Colorado,Denver County,08031,600158,3,NULL,27,0.072,73,25,8
Colorado,Douglas County,08035,285465,NULL,NULL,NULL,0.083,NULL,37,NULL
Colorado,Elbert County,08039,23086,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colorado,El Paso County,08041,622263,2,NULL,NULL,0.073,36,16,9
Colorado,Fremont County,08043,46824,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Colorado,Garfield County,08045,56389,NULL,NULL,5,0.067,62,NULL,NULL
Colorado,Gunnison County,08051,15324,NULL,NULL,NULL,0.069,60,NULL,NULL
Colorado,Jefferson County,08059,534543,NULL,NULL,NULL,0.081,NULL,NULL,NULL
Colorado,La Plata County,08067,51334,1,NULL,5,0.071,116,100,NULL
Colorado,Larimer County,08069,299630,2,NULL,NULL,0.081,51,20,NULL
Colorado,Mesa County,08077,146723,1,NULL,NULL,0.069,38,16,NULL
Colorado,Moffat County,08081,13795,NULL,NULL,NULL,0.064,NULL,NULL,NULL
Colorado,Montezuma County,08083,25535,NULL,NULL,NULL,0.072,NULL,NULL,NULL
Colorado,Montrose County,08085,41276,NULL,NULL,NULL,0.065,NULL,NULL,NULL
Colorado,Park County,08093,16206,NULL,NULL,NULL,0.047,8,NULL,NULL
Colorado,Pitkin County,08097,17148,NULL,NULL,NULL,NULL,39,NULL,NULL
Colorado,Prowers County,08099,12551,NULL,NULL,NULL,NULL,109,NULL,NULL
Colorado,Pueblo County,08101,159063,NULL,NULL,NULL,NULL,56,16,NULL
Colorado,Rio Blanco County,08103,6666,NULL,NULL,2,0.068,NULL,21,NULL
Colorado,Routt County,08107,23509,NULL,NULL,NULL,NULL,53,NULL,NULL
Colorado,San Miguel County,08113,7359,NULL,NULL,NULL,NULL,45,NULL,NULL
Colorado,Weld County,08123,252825,1,NULL,NULL,0.073,48,24,NULL
Connecticut,Fairfield County,09001,916829,1,NULL,9,0.086,36,21,6
Connecticut,Hartford County,09003,894014,1,NULL,13,0.067,62,19,NULL
Connecticut,Litchfield County,09005,189927,0,NULL,NULL,0.071,30,13,3
Connecticut,Middlesex County,09007,165676,NULL,NULL,NULL,0.077,NULL,NULL,NULL
Connecticut,New Haven County,09009,862477,1,NULL,12,0.077,38,22,3
Connecticut,New London County,09011,274055,NULL,NULL,NULL,0.074,31,NULL,NULL
Connecticut,Tolland County,09013,152691,NULL,NULL,NULL,0.071,NULL,NULL,NULL
Connecticut,Windham County,09015,118428,NULL,NULL,NULL,0.072,NULL,NULL,NULL
