"City","StateCode","2010 Population","CBSA Code","CO 8-hr (ppm)","Pb 3-mo (µg/m3)","NO2 AM (ppb)","NO2 1-hr (ppb)","O3 8-hr (ppm)","PM10 24-hr (µg/m3) ","PM2.5 Wtd AM (µg/m3)","PM2.524-hr (µg/m3)","SO2 1-hr (ppb)"
"Aberdeen","SD","40602","10100","NULL","NULL","NULL","NULL","NULL","49","6.6","22","NULL"
"Aberdeen","WA","72797","10140","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Adjuntas","PR","19483","10260","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Adrian","MI","99892","10300","NULL","NULL","NULL","NULL","0.071","NULL","8","23","NULL"
"Aguadilla","PR","339441","10380","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Isabela","PR","339441","10380","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Akron","OH","703200","10420","2","NULL","NULL","NULL","0.069","NULL","8.8","20","6"
"Albany","GA","157308","10500","NULL","NULL","NULL","NULL","NULL","NULL","8.4","24","NULL"
"Albany","OR","116672","10540","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Albert Lea","MN","31255","10660","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Albuquerque","NM","887077","10740","1","NULL","10","45","0.075","229","8.3","21","5"
"Alexandria","LA","153922","10780","NULL","NULL","NULL","NULL","NULL","NULL","8.2","23","NULL"
"Alexandria","MN","36009","10820","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Alpena","MI","29598","10980","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Altoona","PA","127089","11020","NULL","NULL","NULL","NULL","0.063","19","7.6","22","8"
"Amarillo","TX","251933","11100","NULL","0","NULL","NULL","0.072","NULL","IN","IN","133"
"Americus","GA","37829","11140","NULL","NULL","NULL","NULL","0.062","NULL","NULL","NULL","NULL"
"Ames","IA","89542","11180","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Anchorage","AK","380821","11260","3","NULL","NULL","NULL","0.047","155","5.4","19","NULL"
"Ann Arbor","MI","344791","11460","NULL","NULL","NULL","NULL","0.072","NULL","8.3","21","NULL"
"Appleton","WI","225666","11540","NULL","NULL","NULL","NULL","0.067","NULL","6.5","21","108"
"Ardmore","OK","47557","11620","NULL","NULL","NULL","NULL","0.075","NULL","8.6","24","NULL"
"Arecibo","PR","199471","11640","NULL","0.18","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"Arkadelphia","AR","22995","11660","NULL","NULL","NULL","NULL","0.062","NULL","NULL","NULL","NULL"
"Asheville","NC","424858","11700","NULL","NULL","NULL","NULL","0.065","NULL","6","12","213"
"Ashtabula","OH","101497","11780","NULL","NULL","NULL","NULL","0.069","NULL","NULL","NULL","5"
"Athens","OH","64757","11900","NULL","NULL","NULL","NULL","NULL","NULL","6.7","14","NULL"
"Athens","TN","52266","11940","NULL","NULL","NULL","NULL","NULL","NULL","7.4","15","NULL"
"Athens","GA","192541","12020","NULL","NULL","NULL","NULL","0.065","NULL","8.1","19","NULL"
"Roswell","GA","5286728","12060","2","NULL","16","47","0.072","38","9.5","21","4"
"Sandy Springs","GA","5286728","12060","2","NULL","16","47","0.072","38","9.5","21","4"
"Atlanta","GA","5286728","12060","2","NULL","16","47","0.072","38","9.5","21","4"
"Atlantic City","NJ","274549","12100","NULL","NULL","NULL","NULL","0.063","NULL","6.4","15","2"
"Hammonton","NJ","274549","12100","NULL","NULL","NULL","NULL","0.063","NULL","6.4","15","2"
"Augusta","GA","564873","12260","NULL","NULL","NULL","NULL","0.066","33","9.4","20","64"
"Richmond","SC","564873","12260","NULL","NULL","NULL","NULL","0.066","33","9.4","20","64"
"Augusta","ME","122151","12300","NULL","NULL","3","28","0.062","28","5","12","6"
"Round Rock","TX","1716289","12420","1","NULL","12","46","0.072","82","10","37","2"
"Austin","TX","1716289","12420","1","NULL","12","46","0.072","82","10","37","2"
"Bakersfield","CA","839631","12540","1","NULL","13","51","0.096","171","19.4","69","NULL"
"Baltimore","MD","2710489","12580","1","NULL","16","48","0.075","33","9.1","21","12"
"Columbia","MD","2710489","12580","1","NULL","16","48","0.075","33","9.1","21","12"
"Towson","MD","2710489","12580","1","NULL","16","48","0.075","33","9.1","21","12"
"Bangor","ME","153923","12620","NULL","NULL","NULL","NULL","0.057","43","5.2","14","NULL"
"Baraboo","WI","61976","12660","NULL","NULL","NULL","NULL","0.067","32","6.6","18","NULL"
"Barnstable Town","MA","215888","12700","NULL","NULL","NULL","NULL","0.071","NULL","NULL","NULL","NULL"
"Barre","VT","59534","12740","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Bartlesville","OK","50976","12780","NULL","NULL","NULL","NULL","0.031","NULL","IN","IN","NULL"
"Baton Rouge","LA","802484","12940","2","0.01","10","44","0.074","84","9.5","23","29"
"Bay City","MI","107771","13020","NULL","NULL","NULL","NULL","NULL","NULL","7.1","18","NULL"
"Port Arthur","TX","403190","13140","1","NULL","6","35","0.073","NULL","10.5","26","61"
"Beaumont","TX","403190","13140","1","NULL","6","35","0.073","NULL","10.5","26","61"
"Beaver Dam","WI","88759","13180","0","NULL","NULL","NULL","0.069","38","7.5","23","IN"
"Beckley","WV","124898","13220","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Bellingham","WA","201140","13380","NULL","NULL","NULL","NULL","0.062","NULL","5.3","24","101"
"Bemidji","MN","44442","13420","NULL","NULL","NULL","NULL","NULL","NULL","6.2","19","NULL"
"Bend-Redmond","OR","157733","13460","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Bennington","VT","37125","13540","NULL","NULL","NULL","NULL","0.065","NULL","6","15","NULL"
"Berlin","VT","39361","13620","NULL","NULL","NULL","NULL","0.069","NULL","IN","IN","NULL"
"Big Spring","TX","36238","13700","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","99"
"Billings","MT","158934","13740","NULL","NULL","NULL","NULL","NULL","NULL","8.4","28","22"
"Binghamton","NY","251725","13780","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Birmingham","AL","1128047","13820","1","NULL","11","45","0.07","65","10.2","22","72"
"Hoover","AL","1128047","13820","1","NULL","11","45","0.07","65","10.2","22","72"
"Bishop","CA","3879","13860","1","NULL","NULL","NULL","0.078","353","7.4","44","IN"
"Bismarck","ND","114778","13900","0","NULL","5","34","0.063","96","6.3","21","10"
"Christiansburg","VA","178237","13980","NULL","0","NULL","NULL","0.064","NULL","NULL","NULL","66"
"Radford","VA","178237","13980","NULL","0","NULL","NULL","0.064","NULL","NULL","NULL","66"
"Blacksburg","VA","178237","13980","NULL","0","NULL","NULL","0.064","NULL","NULL","NULL","66"
"Bloomington","IL","186133","14010","NULL","NULL","NULL","NULL","0.068","NULL","9.7","20","NULL"
"Bloomington","IN","159549","14020","NULL","NULL","NULL","NULL","0.066","NULL","8.2","23","NULL"
"Bluefield","WV","107342","14140","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Blytheville","AR","46480","14180","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Boise City","ID","616561","14260","2","NULL","NULL","NULL","0.068","73","9.4","33","3"
"Boone","NC","51079","14380","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Borger","TX","22150","14420","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","214"
"Boston","MA","4552402","14460","1","NULL","13","48","0.07","31","8.9","21","14"
"Newton","MA","4552402","14460","1","NULL","13","48","0.07","31","8.9","21","14"
"Cambridge,"MA","4552402","14460","1","NULL","13","48","0.07","31","8.9","21","14"
"Boulder","CO","294567","14500","NULL","NULL","NULL","NULL","0.077","57","7.4","29","NULL"
"Bowling Green","KY","158599","14540","0","NULL","NULL","NULL","0.062","NULL","8","18","5"
"Bozeman","MT","89513","14580","1","NULL","2","IN","NULL","NULL","3.5","25","NULL"
"Brainerd","MN","91067","14660","NULL","NULL","NULL","NULL","0.06","NULL","5.5","17","NULL"
"Bremerton","WA","251133","14740","NULL","NULL","NULL","NULL","NULL","NULL","4.8","24","NULL"
"Silverdale","WA","251133","14740","NULL","NULL","NULL","NULL","NULL","NULL","4.8","24","NULL"
"Norwalk","CT","916829","14860","1","NULL","9","40","0.086","36","7.9","21","6"
"Stamford","CT","916829","14860","1","NULL","9","40","0.086","36","7.9","21","6"
"Bridgeport","CT","916829","14860","1","NULL","9","40","0.086","36","7.9","21","6"
"Brookings","SD","31965","15100","NULL","NULL","NULL","NULL","0.067","70","4.7","12","NULL"
"Brownsville","TX","406220","15180","NULL","NULL","NULL","NULL","0.059","NULL","10.5","26","NULL"
"Harlingen","TX","406220","15180","NULL","NULL","NULL","NULL","0.059","NULL","10.5","26","NULL"
"Brunswick","GA","112370","15260","NULL","NULL","NULL","NULL","0.06","NULL","IN","IN","NULL"
"Buffalo","NY","1135509","15380","1","NULL","10","47","0.069","35","7.6","19","7"
"Niagara Falls","NY","1135509","15380","1","NULL","10","47","0.069","35","7.6","19","7"
"Cheektowaga","NY","1135509","15380","1","NULL","10","47","0.069","35","7.6","19","7"
"Burlington","NC","151131","15500","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Burlington-South Burlington","VT","211261","15540","1","NULL","6","27","0.062","20","6.5","16","1"
"Silver Bow","MT","34200","15580","NULL","NULL","NULL","NULL","NULL","66","5.6","22","NULL"
"Butte","MT","34200","15580","NULL","NULL","NULL","NULL","NULL","66","5.6","22","NULL"
"Cadillac","MI","47584","15620","NULL","NULL","1","8","0.068","NULL","5.4","16","NULL"
"Cambridge","MD","32618","15700","NULL","NULL","NULL","NULL","0.068","NULL","5.8","14","4"
"Cañon City","CO","46824","15860","NULL","NULL","NULL","NULL","NULL","IN","NULL","NULL","NULL"
"Canton","OH","404422","15940","1","0.2","NULL","NULL","0.07","NULL","9.5","22","NULL"
"Massillon","OH","404422","15940","1","0.2","NULL","NULL","0.07","NULL","9.5","22","NULL"
"Fort Myers","FL","618754","15980","NULL","NULL","NULL","NULL","0.065","45","7.4","16","NULL"
"Cape Coral","FL","618754","15980","NULL","NULL","NULL","NULL","0.065","45","7.4","16","NULL"
"Artesia","NM","53829","16100","NULL","NULL","5","30","0.083","NULL","NULL","NULL","NULL"
"Carlsbad","NM","53829","16100","NULL","NULL","5","30","0.083","NULL","NULL","NULL","NULL"
"Carson City","NV","55274","16180","NULL","NULL","NULL","NULL","0.071","NULL","7.1","42","NULL"
"Casper","WY","75450","16220","NULL","NULL","5","37","0.065","31","5.3","16","19"
"Cedar City","UT","46163","16260","NULL","NULL","IN","IN","0.067","NULL","4.8","14","NULL"
"Cedar Rapids","IA","257940","16300","1","NULL","NULL","NULL","0.069","54","8.4","20","28"
"Centralia","WA","75455","16500","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Waynesboro","PA","149618","16540","NULL","NULL","NULL","NULL","0.059","NULL","NULL","NULL","NULL"
"Chambersburg","PA","149618","16540","NULL","NULL","NULL","NULL","0.059","NULL","NULL","NULL","NULL"
"Champaign","IL","231891","16580","0","NULL","NULL","NULL","0.072","NULL","8","18","3"
"Urbana","IL","231891","16580","0","NULL","NULL","NULL","0.072","NULL","8","18","3"
"Charleston","WV","227078","16620","1","NULL","NULL","NULL","0.066","NULL","8.1","16","5"
"Charleston","SC","664607","16700","NULL","NULL","1","IN","0.06","31","6.8","14","13"
"North Charleston","SC","664607","16700","NULL","NULL","1","IN","0.06","31","6.8","14","13"
"Charlotte","NC","2217012","16740","1","NULL","10","35","0.07","58","8.9","17","3"
"Concord","NC","2217012","16740","1","NULL","10","35","0.07","58","8.9","17","3"
"Gastonia","NC","2217012","16740","1","NULL","10","35","0.07","58","8.9","17","3"
"Charlottesville","VA","218705","16820","NULL","NULL","NULL","NULL","0.062","NULL","6","14","NULL"
"Chattanooga","TN","528143","16860","NULL","NULL","NULL","NULL","0.064","NULL","8.7","20","NULL"
"Cheyenne","WY","91738","16940","0","NULL","4","34","0.068","44","4.7","14","3"
"Chicago","IL","9461105","16980","2","0.31","18","61","0.084","78","11.2","27","28"
"Naperville","IL","9461105","16980","2","0.31","18","61","0.084","78","11.2","27","28"
"Elgin","IL","9461105","16980","2","0.31","18","61","0.084","78","11.2","27","28"
"Chico","CA","220000","17020","6","NULL","7","36","0.084","338","13.7","61","NULL"
"Cincinnati","OH","2114580","17140","2","NULL","19","41","0.08","83","12.4","22","24"
"Lebanon","NH","218466","17200","NULL","NULL","NULL","NULL","0.061","NULL","6.2","16","NULL"
"Claremont","NH","218466","17200","NULL","NULL","NULL","NULL","0.061","NULL","6.2","16","NULL"
"Clarksburg","WV","94196","17220","NULL","NULL","NULL","NULL","NULL","NULL","7.1","15","NULL"
"Clarksville","TN","260625","17300","NULL","NULL","NULL","NULL","0.062","NULL","8.2","16","NULL"
"Clearlake","CA","64665","17340","NULL","NULL","NULL","NULL","0.055","89","9.3","72","NULL"
"Cleveland","MS","34145","17380","NULL","NULL","NULL","NULL","0.069","NULL","IN","IN","NULL"
"Cleveland-Elyria","OH","2077240","17460","3","0.06","11","49","0.076","74","11.1","24","53"
"Clinton","IA","49116","17540","NULL","NULL","NULL","NULL","0.067","NULL","9","21","25"
"Coeur d'Alene","ID","138494","17660","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"College Station-Bryan","TX","228660","17780","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","IN"
"Colorado Springs","CO","645613","17820","2","NULL","NULL","NULL","0.073","36","6.2","16","9"
"Columbia","MO","162642","17860","NULL","NULL","NULL","NULL","0.063","NULL","IN","IN","NULL"
"Columbia","SC","767598","17900","1","NULL","IN","IN","0.063","30","7.9","19","2"
"Columbus","GA","294865","17980","NULL","0.04","NULL","NULL","0.061","NULL","9.3","28","NULL"
"Columbus","IN","76794","18020","NULL","NULL","NULL","NULL","0.069","NULL","7.5","19","NULL"
"Columbus","MS","59779","18060","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Columbus","OH","1901974","18140","1","0.01","10","44","0.067","47","9.1","25","IN"
"Concord","NH","146445","18180","NULL","NULL","NULL","NULL","0.06","NULL","IN","IN","15"
"Cookeville","TN","106042","18260","NULL","NULL","NULL","NULL","NULL","NULL","6.9","15","NULL"
"Corning","NY","98990","18500","0","NULL","NULL","NULL","0.064","NULL","4.8","14","2"
"Corpus Christi","TX","428185","18580","NULL","NULL","NULL","NULL","0.061","79","9.8","29","5"
"Corsicana","TX","47735","18620","NULL","NULL","4","28","0.067","NULL","NULL","NULL","141"
"Corvallis","OR","85579","18700","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Craig","CO","13795","18780","NULL","NULL","NULL","NULL","0.064","NULL","NULL","NULL","NULL"
"Crawfordsville","IN","38124","18820","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
"Crescent City","CA","28610","18860","NULL","NULL","NULL","NULL","NULL","NULL","IN","IN","NULL"
