"County Code","County","StateCode","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County","AL","NULL","NULL","NULL","NULL","0.07","0.063","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01033","Colbert County","AL","NULL","NULL","NULL","NULL","0.06","0.056","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01049","DeKalb County","AL","NULL","NULL","NULL","NULL","0.07","0.062","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01051","Elmore County","AL","NULL","NULL","NULL","NULL","0.07","0.059","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01055","Etowah County","AL","NULL","NULL","NULL","NULL","0.07","0.063","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01069","Houston County","AL","NULL","NULL","NULL","NULL","0.07","0.057","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01073","Jefferson County","AL","2.4","1.3","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01089","Madison County","AL","NULL","NULL","NULL","NULL","0.07","0.062","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01097","Mobile County","AL","NULL","NULL","NULL","NULL","0.07","0.059","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01101","Montgomery County","AL","NULL","NULL","NULL","NULL","0.07","0.06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01103","Morgan County","AL","NULL","NULL","NULL","NULL","0.08","0.064","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01113","Russell County","AL","NULL","NULL","NULL","NULL","0.07","0.061","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01117","Shelby County","AL","NULL","NULL","NULL","NULL","0.09","0.067","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01119","Sumter County","AL","NULL","NULL","NULL","NULL","0.07","0.057","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"01125","Tuscaloosa County","AL","NULL","NULL","NULL","NULL","0.07","0.06","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"02020","Anchorage Borough","AK","3.3","2.2","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"02068","Denali Borough","AK","NULL","NULL","NULL","NULL","0.06","0.053","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"02090","Fairbanks North Star Borough","AK","2.8","2.1","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"04003","Cochise County","AZ","NULL","NULL","NULL","NULL","0.07","0.066","NULL","NULL","NULL","10","5.1","97","26","NULL"
"04005","Coconino County","AZ","NULL","NULL","NULL","NULL","0.07","0.063","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"04007","Gila County","AZ","NULL","NULL","NULL","NULL","0.09","0.075","191","33","5","NULL","NULL","191","22","0.16"
"04012","La Paz County","AZ","NULL","NULL","NULL","NULL","0.07","0.062","NULL","NULL","NULL","7","3.3","40","11","NULL"
"04013","Maricopa County","AZ","2.7","2.3","48","25","0.1","0.074","3","2","1","20","7.8","51","24","NULL"
"04015","Mohave County","AZ","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","72","16","NULL"
"04017","Navajo County","AZ","NULL","NULL","NULL","NULL","0.08","0.066","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"04019","Pima County","AZ","1.2","0.6","30","7","0.08","0.065","1","0","0","9","5","139","39","NULL"
"04021","Pinal County","AZ","NULL","NULL","NULL","NULL","0.09","0.072","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
