Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
MCOU,KY,00487,9601,30,2019,3,BUDESONIDE,false,"7,076",80,"12,739.05","12,689.42",49.63,7/1,07/01/2019,38.5111,-96.8005,POINT (-96.8005 38.5111),00487960130
FFSU,ME,60505,0830,01,2019,3,MOMETASONE,true,,,,,,7/1,07/01/2019,39.0724,-76.7902,POINT (-76.7902 39.0724),60505083001
MCOU,OR,65162,0891,29,2019,3,MOMETASONE,true,,,,,,7/1,07/01/2019,40.3736,-82.7755,POINT (-82.7755 40.3736),65162089129
MCOU,OR,50383,0740,16,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,40.3736,-82.7755,POINT (-82.7755 40.3736),50383074016
FFSU,VT,00574,9855,10,2019,3,Budesonide,true,,,,,,7/1,07/01/2019,31.106,-97.6475,POINT (-97.6475 31.106),00574985510
FFSU,WI,00487,9904,25,2019,3,Albuterol,false,"14,277",92,"2,937.72","2,865.18",72.54,7/1,07/01/2019,37.768,-78.2057,POINT (-78.2057 37.768),00487990425
FFSU,WY,00173,0695,00,2019,3,ADVAIR DIS,true,,,,,,7/1,07/01/2019,44.0407,-72.7093,POINT (-72.7093 44.0407),00173069500
FFSU,OH,00378,8270,91,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,38.4199,-117.1219,POINT (-117.1219 38.4199),00378827091
FFSU,WV,69238,1345,01,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,18.0001,-64.8199,POINT (-64.8199 18.0001),69238134501
FFSU,ID,65162,0891,29,2019,3,MOMETASONE,false,238,14,865.1,865.1,0,7/1,07/01/2019,42.0046,-93.214,POINT (-93.214 42.0046),65162089129
FFSU,MD,00591,3797,83,2019,3,ALBUTEROL,false,"18,750",91,"1,630.19","1,586.42",43.77,7/1,07/01/2019,42.2373,-71.5314,POINT (-71.5314 42.2373),00591379783
FFSU,NH,00487,9501,03,2019,3,ALBUTEROL,false,"2,078.308",18,19.03,19.03,0,7/1,07/01/2019,47.5362,-99.793,POINT (-99.793 47.5362),00487950103
MCOU,IA,00115,1687,74,2019,3,Budesonide,false,"1,620",22,"1,540.2","1,540.2",0,7/1,07/01/2019,21.1098,-157.5311,POINT (-157.5311 21.1098),00115168774
MCOU,VA,00093,6816,45,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,35.7449,-86.7489,POINT (-86.7489 35.7449),00093681645
FFSU,PA,00591,3797,60,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,35.5376,-96.9247,POINT (-96.9247 35.5376),00591379760
FFSU,NV,76204,0200,25,2019,3,ALBUTEROL,false,"73,963.2",455,"6,041.14","6,041.14",0,7/1,07/01/2019,40.314,-74.5089,POINT (-74.5089 40.314),76204020025
MCOU,PA,00173,0882,10,2019,3,BREO ELLIP,false,"386,850","5,996","2,206,941.32","2,170,658.25","36,283.07",7/1,07/01/2019,35.5376,-96.9247,POINT (-96.9247 35.5376),00173088210
FFSU,NV,00173,0716,22,2019,3,ADVAIR HFA,true,,,,,,7/1,07/01/2019,40.314,-74.5089,POINT (-74.5089 40.314),00173071622
MCOU,SC,00574,9855,10,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,40.5773,-77.264,POINT (-77.264 40.5773),00574985510
FFSU,NC,45802,0119,42,2019,3,MOMETASONE,false,"7,335",139,"3,279.15","3,264.48",14.67,7/1,07/01/2019,32.7673,-89.6812,POINT (-89.6812 32.7673),45802011942
FFSU,LA,76204,0200,60,2019,3,ALBUTEROL,false,"60,384",198,"3,123.32","2,016.09","1,107.23",7/1,07/01/2019,37.669,-84.6514,POINT (-84.6514 37.669),76204020060
MCOU,MI,64980,0255,01,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,44.6074,-69.3977,POINT (-69.3977 44.6074),64980025501
MCOU,FL,00173,0695,00,2019,3,ADVAIR DIS,false,"127,921","2,130","629,439.38","624,757.35","4,682.03",7/1,07/01/2019,39.3498,-75.5148,POINT (-75.5148 39.3498),00173069500
MCOU,NE,50383,0741,20,2019,3,ALBUTEROL,false,541.2,24,323.97,323.97,0,7/1,07/01/2019,35.6411,-79.8431,POINT (-79.8431 35.6411),50383074120
MCOU,HI,00173,0715,20,2019,3,ADVAIR HFA,false,"1,092",91,"29,139.33","29,139.33",0,7/1,07/01/2019,32.9866,-83.6487,POINT (-83.6487 32.9866),00173071520
FFSU,AZ,00173,0718,20,2019,3,FLOVENT HF,true,,,,,,7/1,07/01/2019,14.2417,-170.7197,POINT (-170.7197 14.2417),00173071820
FFSU,IN,66993,0019,68,2019,3,Albuterol,false,"3,834",196,"9,554.74","9,165",389.74,7/1,07/01/2019,40.3363,-89.0022,POINT (-89.0022 40.3363),66993001968
FFSU,WA,00591,3797,83,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,40.1135,-111.8535,POINT (-111.8535 40.1135),00591379783
MCOU,KS,45802,0118,46,2019,3,MOMETASONE,true,,,,,,7/1,07/01/2019,39.8647,-86.2604,POINT (-86.2604 39.8647),45802011846
FFSU,WA,50383,0740,16,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,40.1135,-111.8535,POINT (-111.8535 40.1135),50383074016
