Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
MCOU,XX,00186,0370,28,2019,3,SYMBICORT,false,"10,198.32","1,677","391,183.74","389,165.26","2,018.48",7/1,07/01/2019,,,,00186037028
MCOU,XX,00378,4124,01,2019,1,ALBUTEROL,false,566,12,"1,386.39","1,386.39",0,1/1,01/01/2019,,,,00378412401
FFSU,WA,60505,0830,01,2019,1,MOMETASONE,true,,,,,,1/1,01/01/2019,40.1135,-111.8535,POINT (-111.8535 40.1135),60505083001
MCOU,XX,59310,0302,40,2019,1,QVAR REDIH,false,"859,270.4","81,865","14,415,503.59","14,295,041.35","120,462.24",1/1,01/01/2019,,,,59310030240
MCOU,XX,69097,0318,87,2019,1,BUDESONIDE,false,"1,005,379.5","11,580","1,376,104.22","1,361,987.82","14,116.4",1/1,01/01/2019,,,,69097031887
FFSU,XX,00093,6815,73,2019,3,BUDESONIDE,false,"229,079","2,211","190,885.94","151,327.76","39,558.18",7/1,07/01/2019,,,,00093681573
FFSU,XX,00487,9701,01,2019,1,BUDESONIDE,false,"13,353",350,"20,913.77","19,340.14","1,573.63",1/1,01/01/2019,,,,00487970101
FFSU,VT,00173,0602,02,2019,1,FLOVENT DI,false,"1,920",19,"5,874.91","5,874.91",0,1/1,01/01/2019,31.106,-97.6475,POINT (-97.6475 31.106),00173060202
MCOU,XX,00713,0635,37,2019,2,MOMETASONE,false,"111,465","2,309","33,945.84","33,830.18",115.66,4/1,04/01/2019,,,,00713063537
MCOU,XX,00591,2510,30,2019,1,BUDESONIDE,false,"13,589",460,"574,752.85","561,001.49","13,751.36",1/1,01/01/2019,,,,00591251030
MCOU,XX,00093,3174,31,2019,3,ALBUTEROL,false,"4,450,931.211","487,285","22,392,134.64","22,220,762.52","171,372.12",7/1,07/01/2019,,,,00093317431
MCOU,XX,00173,0717,22,2019,3,ADVAIR HFA,false,"1,136",135,"42,355.39","41,879.63",475.76,7/1,07/01/2019,,,,00173071722
MCOU,XX,00378,0572,01,2019,2,ALBUTEROL,false,"31,252",443,"93,055.28","92,958.64",96.64,4/1,04/01/2019,,,,00378057201
MCOU,XX,16714,0829,01,2019,3,BUDESONIDE,false,"31,404",402,"162,953.19","162,090.47",862.72,7/1,07/01/2019,,,,16714082901
MCOU,XX,00378,8270,62,2019,1,ALBUTEROL,false,16,12,"1,177.9","1,177.9",0,1/1,01/01/2019,,,,00378827062
FFSU,FL,00591,3467,53,2019,2,ALBUTEROL,true,,,,,,4/1,04/01/2019,39.3498,-75.5148,POINT (-75.5148 39.3498),00591346753
MCOU,XX,00168,0271,46,2019,2,MOMETASONE,false,"22,440",476,"5,707.92","5,698.62",9.3,4/1,04/01/2019,,,,00168027146
MCOU,XX,00713,0701,85,2019,2,MOMETASONE,false,"12,708",327,"6,294.12","6,213.42",80.7,4/1,04/01/2019,,,,00713070185
MCOU,MD,46122,0389,76,2019,2,BUDESONIDE,true,,,,,,4/1,04/01/2019,42.2373,-71.5314,POINT (-71.5314 42.2373),46122038976
FFSU,CO,64980,0442,01,2019,1,ALBUTEROL,true,,,,,,1/1,01/01/2019,36.17,-119.7462,POINT (-119.7462 36.17),64980044201
MCOU,NJ,59310,0204,12,2019,3,QVAR INHAL,true,,,,,,7/1,07/01/2019,41.1289,-98.2883,POINT (-98.2883 41.1289),59310020412
FFSU,MA,00173,0717,22,2019,2,ADVAIR HFA,true,,,,,,4/1,04/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),00173071722
MCOU,XX,00378,6992,52,2019,1,ALBUTEROL,false,"9,453,647.154","75,261","2,176,917.56","2,161,636.42","15,281.14",1/1,01/01/2019,,,,00378699252
FFSU,KY,69097,0319,87,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,38.5111,-96.8005,POINT (-96.8005 38.5111),69097031987
MCOU,AZ,24208,0347,20,2019,3,ALBUTEROL,true,,,,,,7/1,07/01/2019,14.2417,-170.7197,POINT (-170.7197 14.2417),24208034720
FFSU,ND,50383,0741,20,2019,2,ALBUTEROL,true,,,,,,4/1,04/01/2019,46.9048,-110.3261,POINT (-110.3261 46.9048),50383074120
FFSU,XX,66993,0019,68,2019,2,ALBUTEROL,false,"1,324,495.9","67,907","3,338,264.47","3,290,276.79","47,987.68",4/1,04/01/2019,,,,66993001968
MCOU,XX,00115,1471,54,2019,1,MOMETASONE,false,780,15,352.49,352.49,0,1/1,01/01/2019,,,,00115147154
FFSU,KY,50383,0740,16,2019,1,ALBUTEROL,true,,,,,,1/1,01/01/2019,38.5111,-96.8005,POINT (-96.8005 38.5111),50383074016
FFSU,XX,76204,0200,01,2019,3,ALBUTEROL,false,"6,195.915",83,700.31,536.28,164.03,7/1,07/01/2019,,,,76204020001
MCOU,XX,00093,6816,55,2019,1,BUDESONIDE,false,"19,193",204,"47,943.45","46,190.45","1,753",1/1,01/01/2019,,,,00093681655
MCOU,XX,00093,6815,45,2019,1,BUDESONIDE,false,"3,783",62,"5,981.39","5,981.39",0,1/1,01/01/2019,,,,00093681545
FFSU,XX,00173,0602,02,2019,2,FLOVENT 10,false,"118,316","1,894","366,616.48","347,803.68","18,812.8",4/1,04/01/2019,,,,00173060202
MCOU,XX,00781,7515,87,2019,1,BUDESONIDE,false,"186,676.5","2,097","324,121.83","318,474.11","5,647.72",1/1,01/01/2019,,,,00781751587
FFSU,XX,00713,0726,15,2019,1,MOMETASONE,false,"58,350","1,778","53,001.94","52,645.31",356.63,1/1,01/01/2019,,,,00713072615
FFSU,XX,68462,0225,55,2019,2,MOMETASONE,false,"156,543.3","3,197","65,087.95","63,685.76","1,402.19",4/1,04/01/2019,,,,68462022555
MCOU,XX,00093,6817,73,2019,2,BUDESONIDE,false,"194,149","2,340","966,872.98","916,571.69","50,301.29",4/1,04/01/2019,,,,00093681773
FFSU,WY,00713,0726,15,2019,3,Mometasone,true,,,,,,7/1,07/01/2019,44.0407,-72.7093,POINT (-72.7093 44.0407),00713072615
FFSU,XX,69543,0291,10,2019,2,ALBUTEROL,false,"2,005",25,"5,186.32","5,166.62",19.7,4/1,04/01/2019,,,,69543029110
MCOU,XX,00173,0601,00,2019,1,FLOVENT DI,false,982,36,"5,092.54","5,092.54",0,1/1,01/01/2019,,,,00173060100
FFSU,IN,00173,0696,04,2019,2,ADVAIR DIS,true,,,,,,4/1,04/01/2019,40.3363,-89.0022,POINT (-89.0022 40.3363),00173069604
MCOU,XX,53489,0176,05,2019,2,ALBUTEROL,false,"8,460",82,"17,566.91","17,563.91",3,4/1,04/01/2019,,,,53489017605
FFSU,XX,63402,0510,01,2019,1,XOPENEX HF,false,"43,125","2,538","205,439.94","201,741.39","3,698.55",1/1,01/01/2019,,,,63402051001
FFSU,MD,63402,0510,01,2019,1,XOPENEX HF,true,,,,,,1/1,01/01/2019,42.2373,-71.5314,POINT (-71.5314 42.2373),63402051001
MCOU,XX,00487,9601,30,2019,1,BUDESONIDE,false,"200,784","2,153","270,428.98","255,846.41","14,582.57",1/1,01/01/2019,,,,00487960130
MCOU,XX,00115,1470,52,2019,2,MOMETASONE,false,"1,815",51,642.42,642.42,0,4/1,04/01/2019,,,,00115147052
MCOU,XX,45802,0119,42,2019,1,MOMETASONE,false,"180,915","3,826","54,071.42","53,965.67",105.75,1/1,01/01/2019,,,,45802011942
FFSU,AR,00574,9855,10,2019,3,BUDESONIDE,true,,,,,,7/1,07/01/2019,34.9513,-92.3809,POINT (-92.3809 34.9513),00574985510
MCOU,XX,00173,0719,20,2019,2,FLOVENT HF,false,"2,912,537.2","240,358","59,635,548.11","58,924,619.99","710,928.12",4/1,04/01/2019,,,,00173071920
FFSU,XX,00713,0635,37,2019,1,MOMETASONE,false,"29,415",611,"13,226.03","13,131.06",94.97,1/1,01/01/2019,,,,00713063537
MCOU,IN,00378,0572,01,2019,2,ALBUTEROL,false,"1,845",24,"7,365.24","7,365.24",0,4/1,04/01/2019,40.3363,-89.0022,POINT (-89.0022 40.3363),00378057201
MCOU,MA,00536,1112,48,2019,2,BUDESONIDE,true,,,,,,4/1,04/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),00536111248
MCOU,ND,00093,6816,55,2019,1,BUDESONIDE,true,,,,,,1/1,01/01/2019,46.9048,-110.3261,POINT (-110.3261 46.9048),00093681655
MCOU,XX,64980,0442,01,2019,3,ALBUTEROL,false,"3,473",52,"9,522.39","9,505.29",17.1,7/1,07/01/2019,,,,64980044201
MCOU,NM,68382,0720,01,2019,1,BUDESONIDE,true,,,,,,1/1,01/01/2019,43.4108,-71.5653,POINT (-71.5653 43.4108),68382072001
FFSU,AK,45802,0257,42,2019,1,MOMETASONE,true,,,,,,1/1,01/01/2019,61.385,-152.2683,POINT (-152.2683 61.385),45802025742
MCOU,XX,00487,9501,02,2019,2,ALBUTEROL,false,87.923,37,"1,637.88",4.61,"1,633.27",4/1,04/01/2019,,,,00487950102
MCOU,XX,69543,0291,10,2019,2,ALBUTEROL,false,"4,846",73,"14,396.02","14,395.62",0.4,4/1,04/01/2019,,,,69543029110
FFSU,XX,17478,0173,24,2019,3,XOPENEX 0.,false,"27,724.159",114,"84,022.75","75,970.82","8,051.93",7/1,07/01/2019,,,,17478017324
FFSU,MA,00713,0635,37,2019,2,MOMETASONE,true,,,,,,4/1,04/01/2019,31.1801,-91.8749,POINT (-91.8749 31.1801),00713063537
MCOU,XX,69543,0291,10,2019,1,ALBUTEROL,false,"3,896",55,"11,237.12","11,237.12",0,1/1,01/01/2019,,,,69543029110
