ID,NDC
20800,2080001
21200,2120030
21433,2143361
21434,2143461
21436,2143611
21445,2144509
22377,2237711
23115,2311509
23227,2322730
23228,2322830
23229,2322930
23230,2323030
23231,2323130
23233,2323330
23234,2323430
23235,2323560
23238,2323830
23239,2323930
23240,2324030
23250,2325030
23251,2325130
23270,2327004
24112,2411230
24115,2411530
24116,2411630
24117,2411730
24182,2418230
24184,2418402
24312,2431208
24415,2441530
24420,2442030
24453,2445385
24454,2445485
24455,2445585
24456,2445685
24462,2446230
24463,2446330
24464,2446430
24465,2446534
24483,2448354
24491,2449108
24732,2473230
24815,2481554
25121,2512130
25123,2512330
25337,2533754
26145,2614511
26216,2621654
27190,2719001
27335,2733511
27501,2750101
27502,2750201
27510,2751001
27511,2751101
27512,2751201
27516,2751659
27597,2759701
27623,2762301
27635,2763511
27636,2763611
27637,2763711
27640,2764001
27669,2766901
27678,2767801
27712,2771227
27714,2771459
27715,2771559
27716,2771601
27724,2772411
28031,2803101
28147,2814701
28148,2814801
28149,2814901
28213,2821305
28214,2821405
28215,2821501
28315,2831501
28400,2840001
28501,2850101
28715,2871501
28797,2879759
28798,2879859
28799,2879959
28803,2880359
28805,2880559
28824,2882427
28926,2892601
30213,3021301
30249,3024915
30293,3029305
30315,3031505
30371,3037113
30494,3049420
30524,3052411
30527,3052711
30528,3052811
30830,3083050
30852,3085222
30855,3085522
30857,3085722
30893,3089321
30894,3089421
31611,3161112
31612,3161212
31614,3161412
31965,3196501
31966,3196601
31967,3196701
32187,3218710
32188,3218811
32291,3229111
32327,3232711
32328,3232822
32560,3256016
32570,3257016
32814,3281411
32818,3281811
33622,3362212
33624,3362412
33631,3363112
33638,3363810
33641,3364111
33734,3373413
33764,3376474
33772,3377211
33774,3377412
34522,3452211
35178,3517805
35194,3519410
35195,3519510
36335,3633517
36336,3633617
36337,3633717
40038,4003822
40039,4003909
40058,4005801
40068,4006801
40098,4009801
40186,4018683
40191,4019109
40244,4024451
40245,4024515
40259,4025901
40260,4026001
40261,4026129
40298,4029809
40350,4035009
40357,4035730
40365,4036509
40381,4038140
40800,4080007
40801,4080185
40802,4080285
40822,4082205
41100,4110020
41101,4110150
50100,5010002
51971,5197102
52500,5250002
60005,6000513
60019,6001954
60031,6003144
60032,6003220
60033,6003313
60071,6007107
60072,6007231
60078,6007828
60080,6008028
60081,6008114
60106,6010654
60112,6011228
60207,6020754
60221,6022128
60227,6022761
60266,6026618
60267,6026718
60270,6027021
60277,6027702
60325,6032513
60335,6033513
60461,6046102
60462,6046206
60464,6046405
60473,6047361
60477,6047761
60543,6054331
60568,6056840
60571,6057143
60573,6057362
60575,6057503
60577,6057703
60710,6071044
60717,6071731
60735,6073531
60740,6074031
60745,6074531
60747,6074731
60749,6074931
60951,6095154
60952,6095231
60960,6096031
61711,6171131
63025,6302500
63026,6302602
63061,6306104
63066,6306603
63069,6306901
63074,6307402
63075,6307502
63076,6307602
63080,6308001
63516,6351659
63603,6360360
63800,6380018
63801,6380118
63822,6382210
63823,6382310
63841,6384114
63843,6384371
63856,6385602
63862,6386203
63915,6391568
63916,6391668
63917,6391768
63918,6391868
63919,6391968
64045,6404500
64047,6404720
64093,6409302
64094,6409402
64095,6409502
64096,6409602
64109,6410902
64119,6411903
64121,6412102
64171,6417100
64305,6430502
64309,6430900
64681,6468100
64826,6482600
64827,6482700
64831,6483141
64837,6483703
64841,6484100
64897,6489700
64943,6494300
64963,6496300
64981,6498100
64992,6499200
64995,6499500
65003,6500301
65004,6500401
65007,6500701
65363,6536303
65364,6536403
65367,6536703
65368,6536803
65369,6536903
65370,6537003
65373,6537303
65374,6537403
65423,6542312
65424,6542402
65425,6542515
69117,6911731
69275,6927531
73370,7337013
73371,7337113
73372,7337213
73373,7337313
73383,7338313
73385,7338513
73387,7338713
73388,7338813
73650,7365022
74139,7413920
74140,7414020
74141,7414120
74142,7414220
74882,7488213
74883,7488313
74887,7488713
74888,7488813
80100,8010001
80423,8042303
80833,8083303
80836,8083603
80837,8083703
80841,8084181
80843,8084381
80844,8084402
80923,8092351
80941,8094102
81030,8103006
81040,8104005
81041,8104105
81042,8104205
81123,8112312
81179,8117901
81210,8121030
81211,8121101
81222,8122201
82001,8200110
