Table 21: Annual Average Price Adjusted for Service-Mix Intensity by State by Service Category ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Inpatient,,,,,Outpatient,,,,,Professional Services,,,,,Prescription Drugs,,,,
State,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017
AK,"22,959.98","24,733.65","27,731.30","29,592.76","27,774.16",685.27,732.08,790.12,822.14,797.54,214.7,215.6,228.6,234.47,235.37,86.31,101.78,112.06,116.9,112.83
AL,"13,317.90","14,295.31","14,466.71","15,314.06","15,039.55",394.95,420.83,431.36,449.87,484.87,84.67,86.31,87.19,90.07,90.64,76.94,80.53,85.85,93.33,96.5
AR,"12,218.49","12,481.79","13,208.75","13,838.85","13,714.14",361.54,372.06,383.95,395.07,419.24,85.07,86.72,89.81,90.42,91.83,71.96,78.66,84.37,92.04,94.59
AZ,"15,627.47","15,575.03","16,660.11","17,462.29","18,043.98",613.98,667.34,689.41,733.83,795.99,89.04,90.81,92.42,97.94,102.93,86.59,92.2,99.33,104.41,106.43
CA,"26,316.75","27,000.55","28,198.79","29,291.14","31,030.29",711.8,733.48,760.27,795.55,836.23,99.24,103.81,106.02,109.88,117.04,74.79,80.56,89.59,92.9,91.78
CO,"18,528.69","19,164.32","20,246.94","20,428.53","21,079.85",635.14,672.27,698.4,722.15,771.13,100.14,103.58,106.72,109.74,114.9,93.8,99.34,107.02,112.94,113.67
CT,"17,265.71","18,645.22","19,199.06","20,348.16","21,079.21",328.4,342.79,358.08,368.34,389.07,113.03,116.22,119.5,121.91,127.16,102.59,111.39,121.16,127.48,129.38
DC,"14,681.01","14,200.82","17,605.78","15,866.08","16,984.10",528.26,550.91,572.43,595.12,630.52,92.45,95.37,98.43,102.17,103.05,116.99,131.62,150.26,162.36,171.34
DE,"18,912.75","18,976.50","21,944.04","22,119.13","21,634.46",564.01,598.12,621.94,663.21,648.75,94.68,96.57,98.86,102.2,106.75,92.82,100.58,110.95,108.23,113.13
FL,"16,326.69","17,056.76","17,912.43","18,735.41","19,218.03",594.68,634.66,672.84,703.25,744.87,91.89,95,96.4,98.66,102.91,98.61,104.38,111.44,113.71,112.87
GA,"15,414.04","16,135.78","16,703.01","17,665.54","18,510.92",557.02,600.79,638.22,666.43,699.97,97.65,99.51,101.86,104.72,109,90.56,94.95,102.85,109.16,110.29
HI,"18,373.60","21,625.09","18,291.60","27,192.17","23,091.62",539.52,531.12,553.91,538.74,647.28,87.63,80.99,82.66,91.1,101.21,89.66,94.14,109.66,107.9,91.9
