Table 23: Annual Average Price by State by Service Category ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Inpatient,,,,,Outpatient,,,,,Professional Services,,,,,Prescription Drugs,,,,
State,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017,2013,2014,2015,2016,2017
AK,"22,959.98","26,428.35","30,499.98","33,385.15","31,319.86",685.27,652.24,699.91,739.22,732.18,214.7,213.83,228.57,236.42,238.66,86.31,101.78,112.06,116.9,112.83
AL,"13,317.90","14,701.49","14,961.42","16,675.18","16,206.03",394.95,416.3,423.8,433.72,459.44,84.67,85.93,86.99,93.76,95.56,76.94,80.53,85.85,93.33,96.5
AR,"12,218.49","12,811.20","13,478.52","14,414.34","14,996.46",361.54,377.18,376.5,383.98,396.64,85.07,86.59,90.55,93.98,95.7,71.96,78.66,84.37,92.04,94.59
AZ,"15,627.47","15,583.64","17,130.65","18,303.41","19,013.65",613.98,674.5,683.41,715.37,769.22,89.04,90.86,92.67,101.36,106.05,86.59,92.2,99.33,104.41,106.43
CA,"26,316.75","27,314.91","28,826.98","30,345.91","32,010.27",711.8,782.82,818.03,838.9,892.7,99.24,103.37,106.43,111.68,118.61,74.79,80.56,89.59,92.9,91.78
CO,"18,528.69","19,187.43","20,639.93","20,857.25","22,121.56",635.14,661.89,682,698.08,738.5,100.14,103.12,107.21,113.04,117.81,93.8,99.34,107.02,112.94,113.67
CT,"17,265.71","18,583.23","19,686.15","21,022.89","22,306.06",328.4,352.43,373.04,379.84,406.39,113.03,115.93,120.34,125.16,130.64,102.59,111.39,121.16,127.48,129.38
DC,"14,681.01","14,604.64","18,325.86","16,653.51","18,347.22",528.26,569.59,566.78,584.7,615.81,92.45,96.22,99.91,104.7,105.21,116.99,131.62,150.26,162.36,171.34
DE,"18,912.75","18,903.41","21,917.02","23,402.56","21,783.13",564.01,602.74,613.44,648.17,605.08,94.68,96.64,100.01,105.26,109.28,92.82,100.58,110.95,108.23,113.13
FL,"16,326.69","17,210.71","18,128.91","19,210.90","20,230.51",594.68,633.91,673.17,699.89,743,91.89,94.96,99.21,104.24,108.94,98.61,104.38,111.44,113.71,112.87
GA,"15,414.04","16,135.84","16,661.19","18,249.91","19,173.94",557.02,605.74,641.92,670.64,698.68,97.65,100.28,104.05,110.36,114.57,90.56,94.95,102.85,109.16,110.29
HI,"18,373.60","20,638.76","18,618.15","32,559.01","25,545.72",539.52,527.28,559.32,560.69,637.37,87.63,80.06,84.78,94.24,101.77,89.66,94.14,109.66,107.9,91.9
IA,"13,147.20","14,324.85","15,021.71","15,116.14","16,623.28",381.37,397.53,403.84,422.73,456.95,106.89,111.54,113.74,118,120.85,73.09,75.84,81.47,88,88.46
ID,"16,953.81","18,565.74","19,259.38","20,388.83","21,835.34",463.17,501.98,504.57,508.96,526.99,125.1,125.8,129.38,132.34,134.38,85.27,88.4,95.7,107.04,104.5
IL,"16,240.67","17,069.28","17,312.40","17,634.44","18,470.22",447.33,467.29,460.95,446.93,447.15,103.25,105.22,107.46,111.74,115.34,87.42,93.68,103.11,109.32,111.5
IN,"19,339.21","20,664.45","21,293.61","21,683.81","23,405.69",555.21,572.94,586.53,605.52,610.35,99.22,102.24,105.79,111.99,117.62,78.52,84.15,88.61,95.52,96.69
KS,"15,237.92","15,065.86","15,731.48","16,310.24","17,261.83",466.98,477.91,480.58,477.62,498.89,95.95,97.42,99.11,98.75,101.76,81.45,85.2,91.62,96.59,98.9
KY,"14,646.74","15,633.02","15,363.01","16,512.22","16,623.89",500.06,539.6,493.56,488.44,511.33,79.24,80.99,88.6,93.52,98.63,74.8,80.3,85.78,90.62,93.7
LA,"14,025.16","14,577.48","14,791.49","15,219.48","16,306.23",361.34,364.13,354.87,348.98,369.71,96.6,99.17,103.7,108.64,110.37,82.34,87.32,96.16,97,97.1
MA,"14,643.16","15,868.33","16,083.55","16,321.31","17,514.18",255.68,270.43,275.95,280.68,290.28,113.94,118.03,123.03,129.45,137.49,83.71,95.02,101.72,111.57,116.24
MD,"13,402.95","13,718.46","14,439.37","14,761.70","15,803.54",505.46,528.83,522.57,525.27,551.95,85.74,88.44,90.74,95.91,100.52,92.05,99.39,108.68,113.08,116.54
ME,"19,690.95","21,651.54","22,953.96","25,059.05","25,937.33",362.27,395.58,419.7,437.64,473.98,106.55,110.18,113.73,117.09,122.74,77.86,85.2,92.23,100.31,100.95
MI,"15,537.36","15,971.32","16,669.98","16,426.95","17,205.09",378.91,388.28,399.6,417.04,433.96,91.94,94.37,99.79,102.89,107.53,79.8,85.18,92.21,98.34,100.34
MN,"16,206.54","17,764.22","17,923.36","19,217.63","20,650.79",459.38,493.4,534.63,567.18,579.56,128.97,133.53,137.58,143.52,149.68,80.81,85.64,88.88,96.37,103.67
MO,"13,296.87","14,817.76","15,354.25","16,676.67","16,752.89",357.98,372.7,406.63,404.06,432.1,93.32,96.23,99.03,102.85,105.19,81.4,86.25,92.73,99.13,104.08
MS,"13,555.23","14,226.21","13,911.80","14,869.19","15,567.06",441.99,463.11,478.91,483.37,528.08,93.86,94.95,96.44,102.23,104.49,81.22,88.08,89.56,96.16,95.14
MT,"19,196.40","18,116.93","22,752.93","22,605.30","20,881.81",456.71,487.73,455.7,454.55,489,134.46,140.07,146.04,146.14,150.03,78.56,85.79,85.25,96.09,93.73
NC,"16,624.83","17,213.67","17,874.64","18,232.06","18,146.54",617.26,661.07,675.34,686.85,674.57,97.03,101.16,105.06,110.16,112.5,86.89,90.28,99.53,105.39,107.83
ND,"16,217.38","16,632.17","15,947.47","21,385.48","18,209.48",498.05,501.76,563.49,567.31,606.86,125.29,126.81,129.73,138.57,149.28,66.41,69.44,82.97,94.93,97.99
NE,"16,063.98","16,671.29","17,548.52","18,176.55","19,613.33",481.54,494.38,504.63,527.74,543.27,106.57,110.49,111.09,111.33,118.72,82.5,87.58,95.57,102.06,100.24
NH,"18,493.43","20,125.19","20,799.95","22,460.02","23,050.47",374.19,390.74,401.29,406.98,431.89,132.27,137.44,143.23,153.88,158.93,88.99,94.47,100.38,110.8,113.71
NJ,"16,581.95","17,869.63","18,872.45","20,339.46","21,047.91",528.28,532.44,535.2,540.39,570.77,99.57,102.84,106.21,109.32,112.96,113.16,123.58,135.73,140.14,142.58
NM,"16,464.69","16,864.53","17,663.26","21,606.93","19,582.68",457.99,497.28,502.99,511.71,460.16,107.85,109.22,113.07,122.13,128.58,77.58,81.91,94.24,102.28,100.97
NV,"15,851.71","18,314.09","18,975.94","19,234.93","19,280.72",667.84,756.22,772.67,780.69,831.45,94.38,96.34,99.65,105.88,109.69,88.26,95.15,106.98,112.62,114.76
NY,"16,816.23","18,491.09","20,086.75","21,559.39","23,626.52",327.32,341.86,358.96,379.68,424.08,100.33,102.15,105.88,109.73,112.46,109.92,121.39,134.25,139.92,146.17
OH,"16,254.70","17,159.54","18,972.70","19,661.49","20,400.51",374.61,403.19,412.96,426.06,454.66,94.93,97.14,101.44,109.25,114.35,82.61,87,93.91,99.99,102.98
