Table 13: Annual Average Price by Service Subcategory ,,,,,,,,,,,
,,,,,,,,,,,
,,,Average Price,,,,,Annual % Change in Average Price,,,
Service Category,Type,Service Subcategory,2013,2014,2015,2016,2017,2013-14,2014-15,2015-16,2016-17
Total,,,,,,,,4.80%,4.50%,4.70%,3.70%
Inpatient,,All Inpatient,"$17,272.41 ","$18,257.71 ","$19,092.44 ","$20,067.02 ","$20,942.52 ",5.70%,4.60%,5.10%,4.40%
,Acute Inpatient,Labor/Delivery/Newborns,"$8,324.46 ","$8,752.06 ","$9,272.87 ","$9,641.77 ","$9,968.26 ",5.10%,6.00%,4.00%,3.40%
,,Medical,"$15,862.99 ","$17,087.11 ","$17,927.00 ","$18,759.74 ","$19,860.32 ",7.70%,4.90%,4.60%,5.90%
,,Mental Health/Substance Use (MHSU),"$8,188.40 ","$8,504.70 ","$8,909.42 ","$9,480.88 ","$9,945.97 ",3.90%,4.80%,6.40%,4.90%
,,Surgical,"$34,743.76 ","$37,805.41 ","$39,695.51 ","$42,035.58 ","$44,581.14 ",8.80%,5.00%,5.90%,6.10%
,Other Inpatient,Hospice,"$5,208.80 ","$5,130.71 ","$5,233.12 ","$4,963.21 ","$4,634.38 ",-1.50%,2.00%,-5.20%,-6.60%
,,Skilled Nursing Facility (SNF),"$6,546.47 ","$6,402.74 ","$6,314.14 ","$6,364.05 ","$6,045.95 ",-2.20%,-1.40%,0.80%,-5.00%
,,Other,"$21,306.78 ","$25,367.99 ","$27,305.13 ","$28,358.07 ","$29,002.38 ",19.10%,7.60%,3.90%,2.30%
Outpatient,,All Outpatient,$472.51 ,$497.09 ,$510.86 ,$522.40 ,$548.52 ,4.70%,3.00%,3.60%,4.70%
,Outpatient Procedure,All Outpatient Procedures,$193.52 ,$201.27 ,$204.69 ,$208.54 ,$216.58 ,4.00%,1.70%,1.90%,3.90%
,,Durable Medical Equipment (DME),$133.89 ,$136.53 ,$136.29 ,$132.76 ,$130.22 ,2.00%,-0.20%,-2.60%,-1.90%
,,Lab/Pathology,$62.59 ,$65.31 ,$64.35 ,$69.54 ,$70.12 ,4.30%,-1.50%,8.10%,0.80%
,,Radiology,$496.00 ,$510.40 ,$519.58 ,$537.75 ,$621.78 ,2.90%,1.80%,3.50%,15.60%
,,Other Outpatient,$271.37 ,$283.57 ,$296.20 ,$303.93 ,$313.91 ,4.50%,4.50%,2.60%,3.30%
,Outpatient Visit,All Outpatient Visits,"$2,325.91 ","$2,445.34 ","$2,534.06 ","$2,648.15 ","$2,784.70 ",5.10%,3.60%,4.50%,5.20%
,,Ambulance,$613.37 ,$661.39 ,$692.74 ,$724.59 ,$745.43 ,7.80%,4.70%,4.60%,2.90%
,,Emergency Room (ER),"$1,573.31 ","$1,695.29 ","$1,797.72 ","$1,915.22 ","$2,039.26 ",7.80%,6.00%,6.50%,6.50%
,,Observation,"$1,918.87 ","$2,011.23 ","$2,052.66 ","$2,022.61 ","$2,145.73 ",4.80%,2.10%,-1.50%,6.10%
,,Outpatient Surgery,"$4,179.53 ","$4,401.71 ","$4,524.90 ","$4,705.74 ","$4,941.81 ",5.30%,2.80%,4.00%,5.00%
Professional Services,,All Professional Services,$99.45 ,$102.45 ,$106.09 ,$111.41 ,$115.42 ,3.00%,3.50%,5.00%,3.60%
,Professional Services Procedure,Administered Drugs,$434.04 ,$470.73 ,$515.07 ,$573.21 ,$655.02 ,8.50%,9.40%,11.30%,14.30%
,,Administration of Drugs,$48.28 ,$49.40 ,$52.16 ,$52.44 ,$59.64 ,2.30%,5.60%,0.50%,13.70%
,,Anesthesia,$719.55 ,$732.44 ,$744.18 ,$750.74 ,$714.85 ,1.80%,1.60%,0.90%,-4.80%
,,Emergency Room (ER),$366.12 ,$389.40 ,$410.94 ,$426.62 ,$437.38 ,6.40%,5.50%,3.80%,2.50%
,,Immunizations,$62.03 ,$64.46 ,$70.53 ,$74.82 ,$76.81 ,3.90%,9.40%,6.10%,2.70%
,,Lab/Pathology,$30.30 ,$31.76 ,$32.77 ,$32.03 ,$31.77 ,4.80%,3.20%,-2.30%,-0.80%
,,Office Visits,$102.26 ,$106.44 ,$110.26 ,$113.90 ,$117.67 ,4.10%,3.60%,3.30%,3.30%
,,Psychiatry,$92.73 ,$94.41 ,$97.20 ,$99.59 ,$101.14 ,1.80%,3.00%,2.50%,1.50%
,,Radiology,$120.10 ,$121.21 ,$122.18 ,$122.99 ,$134.86 ,0.90%,0.80%,0.70%,9.70%
,,Surgical,$401.02 ,$410.85 ,$414.19 ,$419.89 ,$425.72 ,2.50%,0.80%,1.40%,1.40%
,,Other Services,$71.49 ,$73.73 ,$74.67 ,$79.04 ,$80.76 ,3.10%,1.30%,5.80%,2.20%
Prescription Drugs,,All Prescription Drugs,$86.94 ,$93.38 ,$101.73 ,$107.23 ,$108.68 ,7.40%,8.90%,5.40%,1.40%
,All,Anti-Infective Agents,$191.95 ,$260.31 ,$317.26 ,$298.81 ,$289.54 ,35.60%,21.90%,-5.80%,-3.10%
