HospitalCode,OverallRating,Mortality,PatientExperience,Readmission,TimelinessOfCare,EffectivenessOfCare
10001,2,-1,-1,-1,0,0
10005,2,-1,0,1,1,0
10006,2,-1,-1,1,1,0
10007,2,-1,0,-1,1,-1
10008,4,0,NULL,1,1,0
10011,2,0,-1,0,-1,-1
10012,2,-1,-1,0,1,0
10016,2,0,-1,-1,0,0
10018,NULL,NULL,NULL,NULL,0,NULL
10019,4,0,0,1,1,0
10021,4,0,1,0,1,0
10022,NULL,NULL,NULL,NULL,0,0
10023,2,-1,-1,-1,-1,0
10024,2,-1,0,-1,-1,0
10029,4,-1,1,1,1,0
10033,2,1,1,-1,-1,-1
10034,4,0,0,1,0,0
10035,2,0,-1,-1,1,0
10036,4,0,-1,1,1,0
10038,2,0,-1,-1,1,0
10039,2,-1,0,-1,-1,0
10040,2,0,-1,-1,0,-1
10044,4,0,NULL,0,1,0
10045,5,0,1,0,1,0
10046,4,0,-1,-1,1,0
10049,4,0,0,0,1,0
10051,NULL,NULL,NULL,NULL,0,NULL
10052,3,NULL,0,-1,1,0
10055,3,-1,0,0,0,1
10056,4,0,1,1,0,-1
10058,3,NULL,NULL,0,1,0
10059,4,0,NULL,1,1,0
10061,2,0,-1,1,0,0
10062,4,0,0,1,1,0
10065,3,0,0,-1,1,0
10069,3,0,-1,-1,1,-1
10073,4,0,1,1,0,0
10078,2,0,-1,1,0,0
10079,3,0,0,1,0,0
10083,5,0,1,1,0,0
10085,3,0,0,-1,-1,-1
10086,4,0,0,1,0,0
10087,3,0,0,0,-1,0
10089,3,-1,0,0,1,0
10090,2,-1,-1,-1,0,1
10091,2,0,-1,0,0,-1
10092,2,0,-1,-1,-1,-1
10095,4,NULL,1,0,0,NULL
10097,4,NULL,0,0,1,0
10100,3,0,1,0,0,0
10101,3,0,0,-1,1,0
10102,NULL,NULL,NULL,NULL,1,NULL
10103,2,0,-1,-1,0,0
10104,3,0,1,-1,0,0
10108,5,1,1,0,0,0
10109,3,NULL,NULL,0,0,0
10110,NULL,NULL,NULL,NULL,1,NULL
10112,3,0,NULL,-1,0,0
10113,2,-1,0,-1,-1,0
10114,3,0,-1,1,1,0
10118,2,0,-1,-1,0,0
10120,3,0,1,-1,1,0
10125,5,1,1,1,1,0
10126,3,0,0,0,1,0
10128,2,0,NULL,-1,1,0
10129,3,0,1,-1,-1,0
10130,3,0,1,0,1,0
10131,2,0,-1,-1,-1,0
10138,NULL,NULL,NULL,NULL,0,NULL
10139,3,0,0,-1,0,0
10144,2,-1,1,-1,-1,0
10148,4,0,0,0,0,0
10149,5,0,0,1,-1,0
10150,2,0,NULL,0,0,0
10157,2,0,1,-1,0,-1
10158,4,0,0,0,0,0
10164,2,0,-1,-1,0,0
10168,5,NULL,1,1,0,-1
10169,3,0,-1,0,1,0
10173,4,NULL,1,0,0,-1
11300,NULL,NULL,NULL,NULL,1,NULL
11302,NULL,NULL,NULL,NULL,0,NULL
