Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
031309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,"AAA86505",APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,false,NULL,NULL,16,NULL,5,NULL,16,NULL,5,NULL,16,NULL,16,NULL,5,NULL,5
044021,WOODRIDGE BEHAVIORAL CENTER,600 NORTH 7TH STREET,WEST MEMPHIS,AR,"AAA72301",CRITTENDEN,(870) 394-4113,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-90.175858 35.152962)
100277,DOUGLAS GARDENS HOSPITAL,5200 NE 2ND AVE,MIAMI,FL,"AAA33137",MIAMI-DADE,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private,false,NULL,NULL,16,NULL,5,NULL,5,NULL,5,NULL,16,NULL,5,NULL,16,NULL,16,POINT (-80.191767 25.822972)
104078,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST W,BRADENTON,FL,"AAA34210",MANATEE,(941) 792-2222,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-82.612355 27.460155)
130063,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET,BOISE,ID,"AAA83704",ADA,(208) 373-5000,Acute Care Hospitals,Proprietary,false,NULL,NULL,16,NULL,16,NULL,5,NULL,5,1,NULL,NULL,5,NULL,16,NULL,16,POINT (-116.290332 43.611289)
134002,INTERMOUNTAIN HOSPITAL,303 NORTH ALLUMBAUGH STREET,BOISE,ID,"AAA83704",ADA,(208) 377-8400,Psychiatric,Proprietary,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-116.266232 43.607293)
144038,CHOATE MENTAL HEALTH & DEVELOPMENT CTR,1000 N MAIN ST,ANNA,IL,"AAA62906",UNION,(618) 833-5161,Psychiatric,Government - State,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-89.24487 37.47601)
171370,GOODLAND REGIONAL MEDICAL CENTER,220 WEST SECOND STREET,GOODLAND,KS,"AAA67735",SHERMAN,(785) 890-3625,Critical Access Hospitals,Government - Local,true,NULL,3,NULL,0,NULL,NULL,16,0,NULL,NULL,16,NULL,5,1,NULL,NULL,5,POINT (-101.713256 39.35759)
204005,SPRING HARBOR HOSPITAL,123 ANDOVER ROAD,WESTBROOK,ME,"AAA04092",CUMBERLAND,(207) 761-2200,Psychiatric,Government - Federal,true,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,POINT (-70.33834 43.653231)
214002,EASTERN SHORE HOSPITAL CENTER,POST OFFICE BOX 800,CAMBRIDGE,MD,"AAA21613",DORCHESTER,(410) 221-2525,Psychiatric,Government - State,false,NULL,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19,NULL,19
